Measure,Score,Description
homogeneity,0.7767899715902976,Homogeneity score measures how much each cluster contains only members of a single class.
completeness,0.6901131724833629,Completeness score measures how much all members of a given class are assigned to the same cluster.
v_measure,0.730890780094371,V-measure is the harmonic mean of homogeneity and completeness.
ari,0.5249400815424378,Adjusted Rand Index (ARI) is a measure of the similarity between two data clustering results.
